Оценка;Отзыв
5;маска очень вкусно и насыщенно пахнет кокосом, поэтому я ее и купила - люблю этот хапах. По лицу она не сползает, держится хлорошо. Кожу увлажняет и насыщает, эффект мне понравился
5;очень заманчиваое название с брызгами шампанского, повелась на рекламу))) пахнет приятно, с лица не сползает, хорошая маска, очень много эссенуии в пакетике было
5;очередная маска с коллагеном. в ццелом маска как маска, ничего кдивительного, морщины конечно не разгладит, но кожа напитанная мягкая увлажненная
5;прикольная маска с желтыми кувшинками, напоминает о лете, мне понравилась, закажу еще раз. Кожа после нее увлажненная, мягкая, гладкая. Пахнет приятно.
5;центелла очень полезная для лица, поэтому решила попробовать маску с ней, мне понравилась, морщины конечно не разгладит, но кожа после нее очень увлажненная и мягкая, приятно трогать лицо
5;конечно эффекта ботокса от маски ждать не стоит, но как уходовая процедура дома - почему нет. Наносится легко, не сползает, мне понравилася. Приятно пахнет, поэтому я рекомендую к покупке на пробу!
5;маска хорошая, много эссенуии внутри, не стекает с лица, не сползает, не липкая и нормально пахнет, советую купить и попробовать, вдруг вам тоже подойдет и понравится
5;Очень люблю тканевые маски, но по большому счету они все одинаковые. Поэтому выбираю в основном по упаковке, если упаковка красивая - надо брать и пробовать, и подружкам дарить. Эта маска как раз отлично подойдёт как подарок - она милая, подходит для любой кожи, и для сухой и для жирной, и очень приятно пахнет. Внутри плотная тканевая основа, пропитанная достаточно густой сывороткой. Мне понравило...
5;хорошая масочка, к сожалению упаковку выбросила и не сфотографировала, хорошо пропитана, влажная очень, лекало на лицо прекрасно ложится, что может быть лучше после тяжёлой рабочей недели уделить себе время - очистить лицо, попилинговать, а затем наложить на него такую напитанную масочку, лечь и покайфовать, напитать сухую обезвоженную нашей экологией кожу, после неё кожа такая мягкая, свежая, как...
5;Очень люблю эту маску с нежным ароматом. У нее удачное лекало, все прорези на месте. Очень, просто очень много сыворотки, я после использования ею протираю и руки, и шею. Пленки действительно нет, но мне немного липковато, я все же люблю умыться после маски. Кожа после свежая, гладкая, нежная. Использую ее, подержав немного в холодильнике.
5;Маска влажная и пропитана специальным средством, тканевая и достаточно большая, я её немножко подвергала. Как только надела на лицо почувствовала приятный увлажняющий и успокаивающий эффект на коже,запах трав. У меня довольно проблемная кожа приходится часто пользоваться масками и успокаивать её,чтобы не было высыпаний. Кожа упругая,мягкая, нежная, я бы рекомендовала для всех типов кожи
5;Очень приятная масочка, много эссенции в упаковке, хватило и на шею, и зону декольте, и даже руки) не щипит, не жжёт, эссенция довольно склизкой консистенции) после снятия маски распределила остатки лёгким массажем и подвбила пальчиками, поэтому быстро впиталось) сразу после офигенное ощущение на коже-снялось чувство стянутости после использования пилинга, лицо стало упругое, гладкое, кожа напитан...
5;Маска очень примечательная! Воздушная текстура моментально проникает в кожу и дарит комфорт. Нежнейший аромат прибавляет положительных эмоций. Таблетки хватает надолго, в моем случае 4 раза, включая лицо, шею и зону декольте. Однозначно рекомендую к покупке.
5;"Вся продукция от Holika Holika мне очень нравится!
Отдельное удовольствие пользоваться их тканевыми масочками. 
Лекало у Холики качественное, ровно ложится на лицо, плотно прилегает. 
Ну а составы у них просто замечательные! Все, что заявлено на маске, будь то, увлажнение, питание или регенерация, все это гарантировано вам после использования таких масок. Я обычно держу дольше, чем 15-20 минут, та..."
5;отличный увлажняющий гель, быстро впитывается, не липкий, не вонючий. какой-то лпенки не оставляет, хорошо увлажняет и разглаживает. Удобная упаковка.
4;неплохая тканевая маска, мне понравилась. Много раствора в пакетике, нормально лекало, глаза и рот хорошо прорезаны, накладывается легко, развернулась тоже без проблем. После использования кожа гладкая, увлажненная, напитанная, приятная на ощупь. в этой серии есть еще другая голубая маска полная перезагрузка - вот она вообще самая лучшая из них!
5;не знаю каеи там соевые бобы, но неплохая тканевая маска, мне понравилась. Много раствора в пакетике, нормально лекало, глаза и рот хорошо прорезаны, накладывается легко, развернулась тоже без проблем. После использования кожа гладкая, увлажненная, напитанная, приятная на ощупь.
5;одна из моих любиых увлажняющих масок на этом сайте. Странно, что отзывов нет. Маска с пупсиком прям класс! Очень много эссенции в упаковке, можно два раза использовать без проблем - например утром и вечером, будет вам двойное увлажнение
5;Отличные тканевая маска . Лекало очень хорошее, пропитки очень много . Все маски у виленты очень нравятся
5;"Безусловно, лучшая альгинатная маска (из доступных по цене)!
нравится объем, удобная упаковка.
А эффект просто супер! Кожа после нее напитанная, гладкая и упругая! Особой сноровки альгинатные маски не требуют, а уж с опытом разводить и наносить такие маски вообще легкотня)
В общем рекомендую однозначно!
Также стоит обязательно попробовать тканевые маски этого бренда! Это просто космос!"
5;"Это очень классная маска! 
Очищает на все 100! Однако, конечно, надо привыкнуть к тому, что она очень щекочет когда начинает действовать. Но эффект того стоит. Носик и все места, где черные точки, становятся очень чистенькими. 
Опять же здорово, что этот производитель кладет в баночку специальную лопаточку для более гигиеничного использования."
5;всмысле? не поняла вот сейчас)) почему на эту шикарную, самую лучшую увлажняющую маску нет ни одного отзыва? это же просто находка для ухода за лицом! самая напитанная, самая увлажняющая, самая приятная маска на свете! луяше всех корейских вместе взатях. В ней так много раствора, что можно использовать два раза или два дня, что в целом я и делаю всгда. Заказываю уже третий десяток этих масок, все ...
4;Приятная маска, пользовалась пока только 1 раз, но в целом ощущения остались только хорошие
4;неплохая маска, немного липкая, приятно пахнет, не течет
4;не липкий финиш, достаточно пропитки, не течет, лекало вполне удобное
5;Любовь с первого применения!! Шикарное средство!! Немного сильный запах, чем у кремов этой линейки, но быстро уходит. Увлажнение, и др. заявленные свойства подтверждаю. Буду приобретать дальше. Рекомендую.
5;Очень полюбила эту маску, она настолько мягко и деликатно очищает кожу лица и поры, и плюс очень хорошо увлажняет кожу, нужно нанести маску. на лицо, нежно помассировать по массажным линиям и смыть, и результат на лицо,  кожа увлажненая, мягкая, хочется трогать и трогать. Я этой масочкой заменила все скрабы, которые у меня были. Спасибо  производителю.
4;Дает ровный цвет лица.Лицо пощипывало во время применения.Липкая и не весь состав впитался,я сделала дополнительный массаж лица и шеи.Фруктовая составляющая:гранат,виноград и инжир.
5;Держала 20минут.Пропитана очень хорошо.Удобная,с прорезями по лекалу.Нет липкости.Неплохо выровняла тон,разглаживает кожу.При регулярном применении будет восстанавливать упругость и замедлять старение.
5;Очень понравилась.Пропитана очень хорошо,консистенция слизистая.Приводит лицо в тонус.Кожа напитанная.Отличный отдохнувший вид.Классно разглаживает лицо.Богатый состав.
5;Хорошая масочка. Мне понравилась. К тому же и бюджетная.
5;Хорошая масочка. Мне понравилась.
4;Хорошая бюджетная масочка. Мне понравилась?
4;Люблю тканевые масочки покупаю их постоянно. Хорошая бюджетная. Мне понравилась.
5;Приятная маска, её не нужно смывать, больше похожа на увлажняющий гель, не много присутствует липкость. Увлажняет хорошо
5;Отличное средство для проблемной кожи. Пользовалась много лет, пока не перешла в категорию 35+, когда в столь интенсивном очищении уже нет необходимости. Кремовая консистенция, скрабирущие частички мелкие (раз в неделю нужен нормальный скраб), приятный ненавизчивый запах. Наносится и смывается легко. Хорошо очищает кожу, немного матирует и осветляет черные точки. При регулярном использовании значи...
5;Отличная масочка. Лифтинг эффект присутствует, поры стали заметно меньше.
5;Обожаю тканевые маски.. Как классно, что их придумали)) они удобные в использовании и в основном эффективные. Эту не пробовала еще, но думаю все будет отлично!
5;За свою цену вполне хорошая маска. Результат после неё заметен - кожа очищается, становится более гладкой, выравнивается цвет лица. По консистенции маска похожа на крем, на лице не высыхает, а скорее испаряется. Аромат приятный, в целом довольна.
4;Хорошая маска. Удобно наносить на лицо, т к нет необходимости долго распавлять, она двойная: тонкий слой - на лицо, а толстый - чтобы долго не распавлять, снимается.
5;Прекрасно мне подошла маска, после использования виден результат:кожа стала наполненной и увлажненной
5;Взяла несколько штук. Пользуюсь раз в неделю. Очень хорошо очищает, сужает поры, матирует, питает, а самое главное заметный мгновенный лифтинг, кожа подтянута.Ну и конечно приятное применение, когда масочка подсыхает образуется пленка, которая очень легко снимается снизу вверх.
5;Отличная маска без особого запаха. Тканевая основа снабжена плёнкой для удобного расположения на лице. К лицу приятная, после ни раздражения ни покраснения нет, доп. прыщей не появляется. Кожа выглядит хорошо и на утро.
5;Попробовала эту глину. Остались только хорошие впечатления. При нанесении лёгкое пощипование, которое проходит, по мере высыхания маски на лице. После этой маски кожа гладкая, свежая, сильно не пересушивает кожу. Вообще люблю глинянные маски. Сильного отбеливания не ждите ((хотя у меня была именно эта цель)
5;Маску использовала пока только один раз, текстура нежная, после использования приятное ощущение на коже.
5;Хорошая масочка. Довольна.
5;Хорошая масочка. Увлажняет, освежает, немного выравнивает тон кожи. Не оставляет липкости, лекало хорошее, имеет приятный аромат. Маска хорошо пропитана жидкостью. Советую.
5;"Не понимаю, почему про такую шикарную и не дорогую масочку никто не написал. Покупала ее раньше, а тут на сайте увидела, не удержалась. Мне очень нравится кожа после маски-пилинг, мягкая, нежная, приятная. Использую в основном перед масками. Минуты 2 массирую и оставляю на минут 5, есть легкое пощипывание. Смывается очень легко. 
Пакетика хватает на 3 раза, наношу тонким слоем. Как то забыла ее в ..."
5;Я в восторге от данной маске, лицо свежее, сияющие, гладкое.
5;Потрясающая маска, очень хорошо освежает и тонизирует кожу лица.
5;"Маска просто шик. Пропитки много, лекало тонкое, прочное и отлично прилегает, упаковка стильная.
Очень понравилось, что пропитки в виде крема, очень густая и насыщенная. Пробыла в маске дольше обычного и не жалею: кожа после неё нежная, бархатистая и приятная на ощупь. Покраснений стали потише, тон лица ровнее. Однозначно рекомендую к покупке и приобрету сама не раз!"
5;Маска тоже удобна в перемещении. Постоянно брала с собой в командировки и на авлазки на природу. Места много не занимает, а любимое средство всегда под рукой. Хороший объем, не много не мало, хватило на полгода, тк не часто использовала. В результате на утро кожа немного как блинчик, но увлажнение и питание на лицо. Рекомендую.
5;Отлично увлажняет. Не думала, что эта маска может вывезти. Но я ошибалась. Запах приятный, лекало удобное, пропитки более чем достаточно. В результате кожа напитана и хорошо увлажнена. Однозначно рекомендую.
4;Ожидала большего. Консистенция слишком густая для равномерного нанесения. Поэтому вся маска попросту наносилась комочками. Плюс за то, что интересна была бы для фотографий, если бы наносилась равномерно. Интересные звёздочки, цвет, блёстки. При нанесении звёздочки могут впиваться в кожу, не приятные ощущения. Застывает быстро, снимается дружно. Возможно попалась такая партия. Нанести удалось тольк...
5;Маска для лица, шеи и декольте моделирующая альгинатная с гиалуроном и коллагеном, супер маска, результатом довольна, сделала уже 3 раза,кожа после использования выглядит отдохнувшей и подтянутой, попробую использовать курсом.
5;Очень хорошая покупаю уже не первый раз
5;"Маска находится в очень красивой черной упаковке. Дизайн выполнен в строгих и сдержанных оттенках. 
Ткань тут средней плотности, очень приятная на ощупь. Пропитана сывороткой с легкой парфюмерной отдушкой. Пропитки много, в упаковке она даже еще остается.
Во время применения она не съезжала, а также плотно прилегала к коже. 
Маска отлично подошла под мой сухой тип кожи. 
Мне понравилась, как разгл..."
4;У маски ненавязчивый запах огурца, текстура - гель. Наносится легко, не течет. Кожа после нее нежная. Для меня увлажнения не достаточно, но это скорее всего из-за того что смывать надо долго (теряется эффект). Хорошо использовать от отеков, если охладить.
5;Очень приятные масочки. Разумеется я не использовала их каждый день, но очень освежают по утрам и бодрят. Обязательно куплю снова, так как никаких негативных реакций на коже не проявилось.
5;легкое увлажнение без липкости
4;красивая упаковка, липкий финиш, хочется смыть
4;Нормальная увлажняющая маска (именно увлажняет, не питает), еще и достаточно бюджетная. Но рекомендую из этой серии брать простую увлажняющую маску, ибо они все в первую очередь именно увлажняющие. Сравнивала ее лекало с лекалом маски Garnier (это конкретно для меня самая подходящая тканевая маска), так вот, у Garnier тоже лекало стало похуже. Поэтому - можно смело покупать увлажняющую маску от Фи...
2;Приобретали сыну. Говорит ,что ничего особенно. Ну,а что хотели за такую сумму. Брали 5 шт. ,не впечатлило.
5;Мельчайшая пудра с добавлением лекарственных трав.Для использования необходимо развести водой.После умывания кожа очень нежная.
5;Очень понравилась маска. Увлажняет на ура. Лекало удобное, тонкое. Пропитки много, можно вылить на руку и после наеести на шею, зону декольте или другие участки тела. Запах приятный, виноградный. По итогу кожатнапината и увлажнена, а настроение на высоте! Рекомендую.
5;Для жирной/комбинированной кожи просто находка! Подруга подарила этот крем и я влюбилась. Очень хорошо увлажняет и убирает шелушение. Прошедшей зимой этим кремом только и спасалась. Даже днём перед выходом на работу. И руки тоже мазала. Очень приятный, не оставляет жирного блеска. Только не совсем поняла, почему в названии маска - у меня впитывался полностью
5;"Отличная маска, я осталась в полном восторге. В упаковке жидкости много, мне хватило на 2 раза. Кожа (комбинированная, с жирной т-зоной) по всему лицу была счастлива. Выравнивается цвет, гладкая, эффект на следующий день все еще виден. 
Лёгкий аромат красного вина присутствует, для радости ухода самое то))"
5;Маска полупрозрачная, с золотистыми частичками, состоит из двух частей. Гидрогелевую маску пробовала впервые и мне очень понравился эффект! Полный восторг! Отлично увлажняет, питает, освежает, подтягивает, разглаживает и матирует. Кожа после нее ровная, гладкая и ухоженная. Хорошо держится на лице, немного холодит. Маска отличная, рекомендую перед важными событиями.
5;Хорошая маска: кожа увлажненная, мягкая. Конечно, с одного раза трудно понять, но мне понравилось. Сама сыворотка густая, похожа на гель, поэтому не стекает и хорошо пропитывпет маску. Лекало тоже неплохое, стандартное. Аллегрию не вызвала, не щипала.
5;Думаю, каждый знает о волшебных свойствах корейских тканевых масок, но найти что-то свое действительно сложно в наше время изобилия брендов и продуктов. Я взяла эту маску, не возлагая на нее каких-либо надежд, и не могу сказать, что она меня сильно удивила. Это хорошая, базовая увлажняющая маска, которая имеет легкий, ненавязчивый овощной и быстроисчезающий аромат. После нее кожа увлажнённая и нап...
5;Брала для дочери(подросток) , мы много чего перепробовали в уходе, но это средство реально работает. Отлично подсушивает прыщи и очищает кожу. Заказала повторно.
5;Хорошо увлажняет. На коже становится как будто водой, интересное ощущение. В инструкции написано через 15 минут промокнуть остатки, вот это не поняла, у меня упорно ничего не остаётся. Интересно было бы попробовать в морозы ею пользоваться, но в этом сезоне не получилось.
3;Гелеобразная, после нанесения кожу стягивает, зато на утро тон несколько светлее
5;прекрасная масочка для тех, у кого высушеная кожа, которой катострофически не хватает увлажнения, удобный формат, можно взять везде с собой, она не тканевая, кремовая, но тем даже лучше, конечно использовать её надо на хорошо очищенную кожу: смываем макияж мицелляркой/гидрофильным маслом/другим средством (у кого - что), затем умываемся умывалкой, которая у вас есть, после делаем пилинг (я, хоть эт...
5;хорошая масочка, к сожалению упаковку выбросила и не сфотографировала, хорошо пропитана, влажная очень, лекало на лицо прекрасно ложится, что может быть лучше после тяжёлой рабочей недели в субботу уделить себе время - очистить лицо, попилинговать, а затем наложить на него такую напитанную масочку, лечь и покайфовать, напитать сухую обезвоженную нашей экологией кожу, после неё кожа такая мягкая, с...
5;Маска ояень понравилась. Оправдала все заявленные в аннотации свойства. Кожа после нее увлажненная, выглядет ухоженной.
5;Маска очень понравилась! Кожа увлажненная, выглядет ухоженной и свежей.
5;Гиалуроновая кислота и бета глюкан в составе, хорошая масочка, понравилась
5;Коллаген и гиалуроновая кислота в составе, отлично питает кожу
5;Хороший состав, есть даже гиалуроновая кислота. Нравится оформление масок этой фирмы
5;Хорошая масочка за свою стоимость, увлажняет кожу, борется с шелушениями
5;Пришло быстро запах супер очень понравилось
5;МАСКА ДЛЯ ЛИЦА, ШЕИ И ДЕКОЛЬТЕ МОДЕЛИРУЮЩАЯ АЛЬГИНАТНАЯ С ГИАЛУРОНОМ И ЖЕМЧУГОМ отличная маска, разделила пакетик на 2 раза, кожа увлажненная и подтянутая,выравнивает тон лица,одназначно закажу еще!
4;У меня сложилось неоднозначное впечатление от использования этой маски... Начну с упаковки: я не поняла для чего нужна такая большая коробка для такой маленькой баночки, тем более что сама баночка заполнена на половину. В описании заявлено 20 гр, по факту  если было 10 гр., то хорошо. Мне хватило на 4 нанесения. По поводу самой маски: через минуту после нанесения ощущается лёгкое жжение, которое б...
